MeasuredDates,SepalLength,SepalWidth,PetalLength,PetalWidth,StemLength,StemWidth
2021-01-01,5.1,3.5,1.4,0.2,5.0,0.0
2021-01-02,4.9,3.0,1.4,0.2,6.25,0.0
2021-01-03,4.7,3.2,1.3,0.2,4.75,2.2
2021-01-04,4.6,3.1,1.5,0.2,5.0,2.3
2021-01-05,5.0,3.6,1.4,0.2,5.0,2.8
2021-01-06,5.4,3.9,1.7,0.4,5.0,2.7
2021-01-07,4.6,3.4,1.4,0.3,5.0,2.4
2021-01-08,5.0,3.4,1.5,0.2,5.0,2.3
2021-01-09,4.4,2.9,1.4,0.2,5.0,2.6
2021-01-10,4.9,3.1,1.5,0.1,5.0,2.2
2021-01-11,5.4,3.7,1.5,0.2,5.0,2.7
2021-01-12,4.8,3.4,1.6,0.2,5.0,2.9
2021-01-13,4.8,3.0,1.4,0.1,5.0,2.2
2021-01-14,4.3,3.0,1.1,0.1,5.0,2.9
2021-01-15,5.8,4.0,1.2,0.2,5.0,2.7
2021-01-16,5.7,4.4,1.5,0.4,5.0,2.1
2021-01-17,5.4,3.9,1.3,0.4,5.0,2.4
2021-01-18,5.1,3.5,1.4,0.3,5.0,2.9
2021-01-19,5.7,3.8,1.7,0.3,5.0,2.7
2021-01-20,5.1,3.8,1.5,0.3,5.0,2.3
2021-01-21,5.4,3.4,1.7,0.2,5.0,2.7
2021-01-22,5.1,3.7,1.5,0.4,5.0,2.2
2021-01-23,4.6,3.6,1.0,0.2,5.0,2.1
2021-01-24,5.1,3.3,1.7,0.5,5.0,2.2
2021-01-25,4.8,3.4,1.9,0.2,5.0,2.3
2021-01-26,5.0,3.0,1.6,0.2,5.0,2.5
2021-01-27,5.0,3.4,1.6,0.4,5.0,2.3
2021-01-28,5.2,3.5,1.5,0.2,5.0,2.8
2021-01-29,5.2,3.4,1.4,0.2,5.0,2.2
2021-01-30,4.7,3.2,1.6,0.2,5.0,2.1
2021-01-31,4.8,3.1,1.6,0.2,5.0,2.1
2021-02-01,5.4,3.4,1.5,0.4,5.0,2.6
2021-02-02,5.2,4.1,1.5,0.1,5.0,2.9
2021-02-03,5.5,4.2,1.4,0.2,5.0,2.6
2021-02-04,4.9,3.1,1.5,0.1,5.0,2.9
2021-02-05,5.0,3.2,1.2,0.2,5.0,2.7
2021-02-06,5.5,3.5,1.3,0.2,5.0,2.9
2021-02-07,4.9,3.1,1.5,0.1,5.0,2.9
2021-02-08,4.4,3.0,1.3,0.2,5.0,2.5
2021-02-09,5.1,3.4,1.5,0.2,5.0,2.9
2021-02-10,5.0,3.5,1.3,0.3,5.0,2.5
2021-02-11,4.5,2.3,1.3,0.3,5.0,2.3
2021-02-12,4.4,3.2,1.3,0.2,5.0,2.5
2021-02-13,5.0,3.5,1.6,0.6,5.0,2.7
2021-02-14,5.1,3.8,1.9,0.4,5.0,2.3
2021-02-15,4.8,3.0,1.4,0.3,5.0,2.9
2021-02-16,5.1,3.8,1.6,0.2,5.0,2.3
2021-02-17,4.6,3.2,1.4,0.2,5.0,2.3
2021-02-18,5.3,3.7,1.5,0.2,5.0,2.3
2021-02-19,5.0,3.3,1.4,0.2,5.0,2.4
2021-02-20,7.0,3.2,4.7,1.4,5.0,2.0
2021-02-21,6.4,3.2,4.5,1.5,5.0,2.6
2021-02-22,6.9,3.1,4.9,1.5,5.0,2.3
2021-02-23,5.5,2.3,4.0,1.3,5.0,2.1
2021-02-24,6.5,2.8,4.6,1.5,5.0,2.6
2021-02-25,5.7,2.8,4.5,1.3,5.0,2.2
2021-02-26,6.3,3.3,4.7,1.6,5.0,2.3
2021-02-27,4.9,2.4,3.3,1.0,5.0,2.4
2021-02-28,6.6,2.9,4.6,1.3,5.0,2.2
2021-03-01,5.2,2.7,3.9,1.4,5.0,2.2
2021-03-02,5.0,2.0,3.5,1.0,5.0,2.5
2021-03-03,5.9,3.0,4.2,1.5,5.0,2.5
2021-03-04,6.0,2.2,4.0,1.0,5.0,2.3
2021-03-05,6.1,2.9,4.7,1.4,5.0,2.3
2021-03-06,5.6,2.9,3.6,1.3,5.0,2.3
2021-03-07,6.7,3.1,4.4,1.4,5.0,2.3
2021-03-08,5.6,3.0,4.5,1.5,5.0,2.5
2021-03-09,5.8,2.7,4.1,1.0,5.0,2.2
2021-03-10,6.2,2.2,4.5,1.5,5.0,2.5
2021-03-11,5.6,2.5,3.9,1.1,5.0,2.2
2021-03-12,5.9,3.2,4.8,1.8,5.0,2.8
2021-03-13,6.1,2.8,4.0,1.3,5.0,2.2
2021-03-14,6.3,2.5,4.9,1.5,5.0,2.9
2021-03-15,6.1,2.8,4.7,1.2,5.0,2.2
2021-03-16,6.4,2.9,4.3,1.3,5.0,2.8
2021-03-17,6.6,3.0,4.4,1.4,5.0,2.6
2021-03-18,6.8,2.8,4.8,1.4,5.0,2.2
2021-03-19,6.7,3.0,5.0,1.7,5.0,2.8
2021-03-20,6.0,2.9,4.5,1.5,5.0,2.2
2021-03-21,5.7,2.6,3.5,1.0,5.0,2.1
2021-03-22,5.5,2.4,3.8,1.1,5.0,2.6
2021-03-23,5.5,2.4,3.7,1.0,5.0,2.5
2021-03-24,5.8,2.7,3.9,1.2,5.0,2.6
2021-03-25,6.0,2.7,5.1,1.6,5.0,2.2
2021-03-26,5.4,3.0,4.5,1.5,5.0,2.2
2021-03-27,6.0,3.4,4.5,1.6,5.0,2.7
2021-03-28,6.7,3.1,4.7,1.5,5.0,2.1
2021-03-29,6.3,2.3,4.4,1.3,5.0,2.9
2021-03-30,5.6,3.0,4.1,1.3,5.0,2.4
2021-03-31,5.5,2.5,4.0,1.3,5.0,2.6
2021-04-01,5.5,2.6,4.4,1.2,5.0,2.3
2021-04-02,6.1,3.0,4.6,1.4,5.0,2.2
2021-04-03,5.8,2.6,4.0,1.2,5.0,2.0
2021-04-04,5.0,2.3,3.3,1.0,5.0,2.2
2021-04-05,5.6,2.7,4.2,1.3,5.0,2.9
2021-04-06,5.7,3.0,4.2,1.2,5.0,3.0
2021-04-07,5.7,2.9,4.2,1.3,5.0,2.4
2021-04-08,6.2,2.9,4.3,1.3,5.0,2.4
2021-04-09,5.1,2.5,3.0,1.1,5.0,2.3
2021-04-10,5.7,2.8,4.1,1.3,5.0,3.0
2021-04-11,6.3,3.3,6.0,2.5,5.0,2.1
2021-04-12,5.8,2.7,5.1,1.9,5.0,2.4
2021-04-13,7.1,3.0,5.9,2.1,5.0,2.2
2021-04-14,6.3,2.9,5.6,1.8,5.0,2.2
2021-04-15,6.5,3.0,5.8,2.2,5.0,2.8
2021-04-16,7.6,3.0,6.6,2.1,5.0,2.2
2021-04-17,4.9,2.5,4.5,1.7,5.0,2.6
2021-04-18,7.3,2.9,6.3,1.8,5.0,2.4
2021-04-19,6.7,2.5,5.8,1.8,5.0,2.5
2021-04-20,7.2,3.6,6.1,2.5,5.0,2.3
2021-04-21,6.5,3.2,5.1,2.0,5.0,2.3
2021-04-22,6.4,2.7,5.3,1.9,5.0,2.3
2021-04-23,6.8,3.0,5.5,2.1,5.0,2.1
2021-04-24,5.7,2.5,5.0,2.0,5.0,2.5
2021-04-25,5.8,2.8,5.1,2.4,5.0,2.9
2021-04-26,6.4,3.2,5.3,2.3,5.0,2.9
2021-04-27,6.5,3.0,5.5,1.8,5.0,2.0
2021-04-28,7.7,3.8,6.7,2.2,5.0,2.9
2021-04-29,7.7,2.6,6.9,2.3,5.0,2.1
2021-04-30,6.0,2.2,5.0,1.5,5.0,2.7
2021-05-01,6.9,3.2,5.7,2.3,5.0,2.9
2021-05-02,5.6,2.8,4.9,2.0,5.0,2.2
2021-05-03,7.7,2.8,6.7,2.0,5.0,2.3
2021-05-04,6.3,2.7,4.9,1.8,5.0,2.4
2021-05-05,6.7,3.3,5.7,2.1,5.0,2.3
2021-05-06,7.2,3.2,6.0,1.8,5.0,2.5
2021-05-07,6.2,2.8,4.8,1.8,5.0,2.0
2021-05-08,6.1,3.0,4.9,1.8,5.0,2.4
2021-05-09,6.4,2.8,5.6,2.1,5.0,2.9
2021-05-10,7.2,3.0,5.8,1.6,5.0,2.1
2021-05-11,7.4,2.8,6.1,1.9,5.0,2.5
2021-05-12,7.9,3.8,6.4,2.0,5.0,2.5
2021-05-13,6.4,2.8,5.6,2.2,5.0,2.8
2021-05-14,6.3,2.8,5.1,1.5,5.0,3.0
2021-05-15,6.1,2.6,5.6,1.4,5.0,2.7
2021-05-16,7.7,3.0,6.1,2.3,5.0,2.3
2021-05-17,6.3,3.4,5.6,2.4,5.0,2.7
2021-05-18,6.4,3.1,5.5,1.8,5.0,2.3
2021-05-19,6.0,3.0,4.8,1.8,5.0,2.8
2021-05-20,6.9,3.1,5.4,2.1,5.0,2.7
2021-05-21,6.7,3.1,5.6,2.4,5.0,3.0
2021-05-22,6.9,3.1,5.1,2.3,5.0,2.9
2021-05-23,5.8,2.7,5.1,1.9,5.0,2.0
2021-05-24,6.8,3.2,5.9,2.3,5.0,2.3
2021-05-25,6.7,3.3,5.7,2.5,5.0,2.9
2021-05-26,6.7,3.0,5.2,2.3,5.0,2.6
2021-05-27,6.3,2.5,5.0,1.9,5.0,2.3
2021-05-28,6.5,3.0,5.2,2.0,5.0,2.1
2021-05-29,6.2,3.4,5.4,2.3,5.0,2.8
2021-05-30,5.9,3.0,5.1,1.8,5.0,2.0
